clearance_mm,r_mm,az_deg,tilt_deg,dx_mm,dy_mm,success
2.0,5.0,90.0,2.0,0.0,5.0,1
2.0,5.0,90.0,4.0,0.0,5.0,1
2.0,5.0,90.0,6.0,0.0,5.0,1
2.0,5.0,90.0,8.0,0.0,5.0,0
2.0,5.0,180.0,0.0,-5.0,0.0,0
2.0,5.0,180.0,2.0,-5.0,0.0,1
2.0,5.0,180.0,4.0,-5.0,0.0,1
2.0,5.0,180.0,6.0,-5.0,0.0,1
2.0,5.0,180.0,8.0,-5.0,0.0,1
2.0,5.0,270.0,0.0,-0.0,-5.0,0
2.0,5.0,270.0,2.0,-0.0,-5.0,0
2.0,5.0,270.0,4.0,-0.0,-5.0,0
2.0,5.0,270.0,6.0,-0.0,-5.0,0
2.0,5.0,270.0,8.0,-0.0,-5.0,0
