policy,clearance_mm,level,n,success,success_rate,ci95_low,ci95_high,insert_force_median_N,handoff_fired,jsonl
vdash_scripted,2.0,L1,20,20,1.0,0.8389,1.0,8.129,20,vdash_handoff_grid_vdash_scripted_c2.0_L1_20260628_113512.jsonl
vdash_scripted,1.75,L1,20,20,1.0,0.8389,1.0,11.41,20,vdash_handoff_grid_vdash_scripted_c1.75_L1_20260628_113631.jsonl
vdash_scripted,1.5,L1,20,15,0.75,0.5313,0.8881,12.141,20,vdash_handoff_grid_vdash_scripted_c1.5_L1_20260628_113752.jsonl
vdash_scripted,1.25,L1,20,0,0.0,0.0,0.1611,19.962,20,vdash_handoff_grid_vdash_scripted_c1.25_L1_20260628_113915.jsonl
vdash_scripted,1.0,L1,20,0,0.0,0.0,0.1611,13.42,20,vdash_handoff_grid_vdash_scripted_c1.0_L1_20260628_114039.jsonl
vdash_scripted,0.5,L1,20,0,0.0,0.0,0.1611,14.756,20,vdash_handoff_grid_vdash_scripted_c0.5_L1_20260628_114201.jsonl
vdash_scripted,0.25,L1,20,0,0.0,0.0,0.1611,13.287,20,vdash_handoff_grid_vdash_scripted_c0.25_L1_20260628_114325.jsonl
